book,line,ship,epithet_gr,epithet_en,number,case,clause,scansion
9,283,νέα,none,none,s,a,"νέα μέν μοι κατέαξε Ποσειδάων ἐνοσίχθων | πρὸς πέτρηισι βαλὼν ὑμῆς ἐπὶ πείρασι γαίης,",-uu -uu -uu -- -uu --
9,322,νηὸς,μελαίνης,black,s,a,"τὸ μὲν ἄμμες ἐΐσκομεν εἰσορόωντες | ὅσσον θ’ ἱστὸν νηὸς ἐεικοσόροιο μελαίνης | φορτίδος εὐρείης,",-- -- -uu -uu -uu --
9,465,νῆα,none,none,s,a,ὄφρ’ ἐπὶ νῆα | ἱκόμεθ’.,-uu -uu -uu -uu -uu --
9,482,νεὸς,κυανοπρώιροιο,dark-prowed,s,g,κὰδ δ’ ἔβαλε προπάροιθε νεὸς κυανοπρώιροιο.,-- -uu -- -uu -uu --
9,495,νῆα,none,none,s,a,"ὃς καὶ νῦν πόντόνδε βαλὼν βέλος ἤγαγε νῆα | αὖτις ἐς ἤπειρον,",-- -uu -- -uu -uu --
9,535,νηὸς,none,none,s,g,νηὸς ἔπ’ ἀλλοτρίης,-- -uu -- -uu -uu --
9,539,νεὸς,κυανοπρώιροιο,dark-prowed,s,g,"κὰδ δ’ ἔβαλεν μετόπισθε νεὸς κυανοπρώιροιο | τυτθόν,",-- -uu -- -uu -uu --
9,544,νῆες,ἐΰσσελμοι,well-benched,p,n,"ἔνθά περ ἄλλαι | νῆες ἐΰσσελμοι μένον ἁθρόαι,",-uu -- -uu -uu -uu --
9,456,νῆα,none,none,s,a,"νῆα μὲν ἔνθ’ ἐλθόντες ἐκέλσαμεν ἐν ψαμάθοισιν,",-uu -- -uu -uu -uu --
9,548,νηὸς,γλαφυρῆς,hollowed,s,g,"μῆλα δὲ Κύκλωπος γλαφυρῆς ἐκ νηὸς ἑλόντες | δασσάμεθ’,",-uu -- -uu -- -uu --
9,555,νῆες,ἐΰσσελμοι,well-benched,p,n,ἀλλ’ ὅ γε μερμήριζεν ὅπως ἀπολοίατο πᾶσαι | νῆες ἐΰσσελμοι καὶ ἐμοὶ ἐρίηρες ἑταῖροι.,-uu -- -uu -uu -uu --
10,15,νέας,none,none,p,a,Ἴλιον Ἀργείων τε νέας καὶ νόστον Ἀχαιῶν·,-uu -- -uu -- -uu --
10,23,νηῒ,γλαφυρῆι,hollowed,s,d,"νηῒ δ’ ἔνι γλαφυρῆι κατέδει μέρμιθι φαεινῆι | ἀργυρέηι,",-uu -uu -uu -- -uu --
10,26,νῆάς,none,none,p,a,ὄφρα φέροι νῆάς τε καὶ αὐτούς.,-uu -- -uu -- -uu --
10,32,νηὸς,none,none,s,g,"αἰεὶ γὰρ πόδα νηὸς ἐνώμων,",-- -uu -uu -- -uu --
10,51,νηὸς,none,none,s,g,"ἠὲ πεσὼν ἐκ νηὸς ἀποφθίμην ἐνὶ πόντωι,",-uu -- -uu -- -uu --
10,53,νηΐ,none,none,s,d,καλυψάμενος δ’ ἐνὶ νηΐ | κείμην.,-- -uu -uu -uu -uu --
10,57,νηυσὶν,θοῆις,swift,p,d,αἶψα δὲ δεῖπνον ἕλοντο θοῆις παρὰ νηυσὶν ἑταῖροι.,-uu -uu -uu -uu -uu --
10,91,νέας,ἀμφιελίσσας,curved,p,a,ἔνθ’ οἵ γ’ εἴσω πάντες ἔχον νέας ἀμφιελίσσας.,-- -- -uu -uu -uu --
10,95,νῆα,μέλαιναν,black,s,a,"αὐτὰρ ἐγὼν οἶος σχέθον ἔξω νῆα μέλαιναν | αὐτοῦ ἐπ’ ἐσχατιῆι,",-uu -- -uu -- -uu --
10,117,νῆας,none,none,p,a,τὼ δὲ δύ’ ἀΐξαντε φυγῆι ἐπὶ νῆας ἱκέσθην.,-- -uu -uu -uu -uu --
10,122,νῆας,none,none,p,a,ἄφαρ δὲ κακὸς κόναβος κατὰ νῆας ὀρώρει | ἀνδρῶν τ’ ὀλλυμένων νηῶν θ’ ἅμα ἀγνυμενάων·,-uu -uu -uu -uu -uu --
10,122,νηῶν,none,none,p,g,ἄφαρ δὲ κακὸς κόναβος κατὰ νῆας ὀρώρει | ἀνδρῶν τ’ ὀλλυμένων νηῶν θ’ ἅμα ἀγνυμενάων·,-- -uu -- -uu -uu --
10,127,νεὸς,κυανοπρώιροιο,dark-prowed,s,g,τῶι ἀπὸ πείσματ’ ἔκοψα νεὸς κυανοπρώιροιο.,-uu -uu -uu -uu -- --
10,132,νηῦς,ἐμή,my,s,n,ἀσπασίως δ’ ἐς πόντον ἐπηρεφέας φύγε πέτρας | νηῦς ἐμή·,-uu -uu -uu -uu -uu --
10,140,νηῒ,none,none,s,d,"ἔνθα δ’ ἐπ’ ἀκτῆς νηῒ κατηγαγόμεσθα σιωπῆι | ναύλοχον ἐς λιμένα,",-uu -- -uu -uu -uu --
10,146,νηὸς,none,none,s,g,"καὶ τότ’ ἐγὼν ἐμὸν ἔγχος ἑλὼν καὶ φάσγανον ὀξύ | καρπαλίμως παρὰ νηὸς ἀνήϊον ἐς περιωπήν,",-uu -uu -uu -uu -uu --
10,154,νῆα,θοὴν,swift,s,a,πρῶτ’ ἐλθόντ’ ἐπὶ νῆα θοὴν καὶ θῖνα θαλάσσης | δεῖπνον ἑταίροισιν δόμεναι προέμεν τε πυθέσθαι.,-- -uu -uu -- -uu --
10,156,νεὸς,ἀμφιελίσσης,curved,s,g,"ἀλλ’ ὅτε δὴ σχεδὸν ἦα κιὼν νεὸς ἀμφιελίσσης,",-uu -uu -uu -uu -uu --
10,169,νῆα,μέλαιναν,black,s,a,"βῆν δὲ καταλοφάδια φέρων ἐπὶ νῆα μέλαιναν | ἔγχει ἐρειδόμενος,",-- -uu -uu -uu -uu --
10,172,νεώς,none,none,s,g,"κὰδ’ δ’ ἔβαλον προπάροιθε νεώς,",-uu -uu -uu -uu -uu --
10,176,νηῒ,θοῆι,swift,s,d,"ὄφρ’ ἐν νηῒ θοῆι βρῶσίς τε πόσις τε,",-uu -- -uu -- -uu --
10,244,νῆα,θοὴν,swift,s,a,Εὐρύλοχος δ’ αἶψ’ ἦλθε θοὴν ἐπὶ νῆα μέλαιναν | ἀγγελίην ἑτάρων ἐρέων καὶ ἀδευκέα πότμον·,-uu -- -uu -uu -uu --
10,244,νῆα,μέλαιναν,black,s,a,Εὐρύλοχος δ’ αἶψ’ ἦλθε θοὴν ἐπὶ νῆα μέλαιναν | ἀγγελίην ἑτάρων ἐρέων καὶ ἀδευκέα πότμον·,-uu -- -uu -uu -uu --
10,272,νηῒ,κοίληι,hollow,s,d,ἤτοι μὲν σὺ μέν’ αὐτοῦ τῶιδ’ ἐνὶ χώρωι | ἔσθων καὶ πίνων κοίληι παρὰ νηῒ μελαίνηι·,-- -- -- -uu -uu --
10,272,νηῒ,μελαίνηι,black,s,d,ἤτοι μὲν σὺ μέν’ αὐτοῦ τῶιδ’ ἐνὶ χώρωι | ἔσθων καὶ πίνων κοίληι παρὰ νηῒ μελαίνηι·,-- -- -- -uu -uu --
10,332,νηῒ,θοῆι,swift,s,d,ὅν τέ μοι αἰεί | φάσκεν ἐλεύσεσθαι χρυσόρραπις Ἀργειφόντης | ἐκ Τροίης ἀνιόντα θοῆι σὺν νηῒ μελαίνηι.,-- -uu -uu -- -uu --
10,332,νηῒ,μελαίνηι,black,s,d,ὅν τέ μοι αἰεί | φάσκεν ἐλεύσεσθαι χρυσόρραπις Ἀργειφόντης | ἐκ Τροίης ἀνιόντα θοῆι σὺν νηῒ μελαίνηι.,-- -uu -uu -- -uu --
10,402,νῆα,θοὴν,swift,s,a,ἔρχεο νῦν ἐπὶ νῆα θοὴν καὶ θῖνα θαλάσσης.,-uu -uu -uu -- -uu --
10,403,νῆα,none,none,s,a,"νῆα μὲν ἂρ πάμπρωτον ἐρύσσατε ἤπειρόνδε,",-uu -- -uu -uu -- --
10,407,νῆα,θοὴν,swift,s,a,βῆν δ’ ἰέναι ἐπὶ νῆα θοὴν καὶ θῖνα θαλάσσης.,-uu -uu -uu -- -uu --
10,408,νηῒ,θοῆι,swift,s,d,"ηὗρον ἔπειτ’ ἐν νηῒ θοῆι ἐρίηρας ἑταίρους | οἴκτρ’ ὀλοφυρομένους,",-uu -- -uu -uu -uu --
10,423,νῆα,none,none,s,a,"νῆα μὲν ἂρ πάμπρωτον ἐρύσσομεν ἤπειρόνδε,",-uu -- -uu -uu -- --
10,444,νηΐ,none,none,s,d,αὐτοῦ πὰρ νηΐ τε μένειν καὶ νῆα ἔρυσθαι·,-- -- -uu -- -uu --
10,444,νῆα,none,none,s,a,αὐτοῦ πὰρ νηΐ τε μένειν καὶ νῆα ἔρυσθαι·,-- -- -uu -- -uu --
10,446,νηὸς,none,none,s,g,ὣς φάμενοι παρὰ νηὸς ἀνήϊον ἠδὲ θαλάσσης.,-uu -uu -uu -uu -uu --
10,447,νηῒ,κοίληι,hollow,s,d,"οὐδὲ μὲν Εὐρύλοχος κοίληι παρὰ νηῒ λέλειπτο,",-uu -uu -- -uu -uu --
10,502,νηῒ,μελαίνηι,black,s,d,εἰς Ἄϊδος δ’ οὔ πώ τις ἀφίκετο νηῒ μελαίνηι.,-- -- -uu -uu -uu --
10,505,νηῒ,none,none,s,d,μή τί τοι ἡγεμόνος γε ποθὴ παρὰ νηῒ μελέσθω·,-uu -uu -uu -uu -uu --
10,508,νηῒ,none,none,s,d,"ἀλλ’ ὁπότ’ ἂν δὴ νηῒ δι’ Ὠκεανοῖο περήσηις,",-uu -- -uu -uu -uu --
10,511,νῆα,none,none,s,a,"νῆα μὲν αὐτοῦ κέλσαι ἐπ’ Ὠκεανῶι βαθυδίνηι,",-uu -- -uu -uu -uu --
10,569,νῆα,θοὴν,swift,s,a,ἀλλ’ ὅτε δή ῥ’ ἐπὶ νῆα θοὴν καὶ θῖνα θαλάσσης,-uu -uu -uu -- -uu --
11,1,νῆα,none,none,s,a,"αὐτὰρ ἐπεί ῥ’ ἐπὶ νῆα κατήλθομεν ἠδὲ θάλασσαν,",-uu -uu -uu -uu -uu --
11,2,νῆα,none,none,s,a,"νῆα μὲν ἂρ πάμπρωτον ἐρύσσαμεν εἰς ἅλα δῖαν,",-uu -- -uu -uu -uu --
11,3,νηῒ,μελαίνηι,black,s,d,"ἐν δ’ ἱστὸν τιθέμεσθα καὶ ἱστία νηῒ μελαίνηι,",-- -uu -uu -uu -uu --
11,6,νεὸς,κυανοπρώιροιο,dark-prowed,s,g,"ἡμῖν δ’ αὖ κατόπισθε νεὸς κυανοπρώιροιο | ἴκμενον οὖρον ἵει πλησίστιον,",-- -uu -- -uu -uu --
11,9,νῆα,none,none,s,a,ἡμεῖς δ’ ὅπλα ἕκαστα πονησάμενοι κατὰ νῆα | ἥμεθα· ,-- -uu -uu -uu -uu --
11,20,νῆα,none,none,s,a,"νῆα μὲν ἔνθ’ ἐλθόντες ἐκέλσαμεν,",-uu -- -uu -uu -uu --
11,58,νηῒ,μελαίνηι,black,s,d,ἔφθης πεζὸς ἰὼν ἢ ἐγὼ σὺν νηῒ μελαίνηι;,-- -uu -uu -- -uu --
11,70,νῆα,εὐεργέα,well-made,s,a,οἶδα γὰρ ὡς ἐνθένδε κιὼν δόμου ἒξ Ἀΐδαο | νῆσον ἒς Αἰαίην σχήσεις εὐεργέα νῆα·,-uu -- -- -uu -- --
11,106,νῆα,εὐεργέα,well-made,s,a,"ὁππότε δὴ πρῶτον πελάσηις εὐεργέα νῆα | Θρινακίηι νήσωι,",-uu -- -uu -- -uu --
11,113,νηΐ,none,none,s,d,τότε τοι τεκμαίρομ’ ὄλεθρον | νηΐ τε καὶ ἑτάροις.,-uu -uu -- -- -uu --
11,115,νηὸς,none,none,s,g,νηὸς ἔπ’ ἀλλοτρίης·,-uu -uu -- -- -uu --
11,124,νέας,φοινικοπαρήους,red-cheeked,p,a,"οὐδ’ ἄρα τοί γ’ ἴσσασι νέας φοινικοπαρήους | οὐδ’ εὐήρε’ ἐρετμά,",-uu -- -uu -- -uu --
11,125,νηυσὶ,none,none,p,d,τά τε πτερὰ νηυσὶ πέλονται.,-- -uu -uu -uu -uu --
11,159,νῆα,εὐεργέα,well-made,s,a,ἢν μή τις ἔχηι εὐεργέα νῆα.,-uu -- -uu -- -uu --
11,161,νηΐ,none,none,s,d,"ἦ νῦν δὴ Τροίηθεν ἀλώμενος ἐνθάδ’ ἱκάνεις | νηΐ τε καὶ ἑτάροισι πολὺν χρόνον,",-uu -uu -uu -uu -uu --
11,330,νῆα,θοὴν,swift,s,a,ἠ’ ἐπὶ νῆα θοὴν ἐλθόντ’ ἐς ἑταίρους | ἠ’ αὐτοῦ·,-- -uu -uu -- -uu --
11,399,νήεσσι,none,none,p,d,ἦε σέ γ’ ἐν νήεσσι Ποσειδάων ἐδάμασσεν | ὄρσας ἀργαλέων ἀνέμων ἀμέγαρτον ἀϋτμήν;,-uu -- -uu -- -uu --
11,406,νήεσσι,none,none,p,d,"οὔτ’ ἐμέ γ’ ἐν νήεσσι Ποσειδάων ἐδάμασσεν | οὔτέ μ’ ἀνάρσιοι ἄνδρες ἐδηλήσαντ’ ἐπὶ χέρσου,",-uu -- -uu -- -uu --
11,456,νῆα,none,none,s,a,"φίλην ἐς πατρίδα γαῖαν | νῆα κατισχέμεναι,",-uu -uu -uu -uu -uu --
11,508,νηὸς,κοίλης,hollow,s,g,αὐτὸς γάρ μιν ἐγὼ κοίλης ἐπὶ νηὸς ἐΐσης | ἤγαγον ἐκ Σκύρου μετ’ ἐϋκνήμιδας Ἀχαιούς.,--  -uu -- -uu -uu --
11,508,νηὸς,ἐΐσης,well-balanced,s,g,αὐτὸς γάρ μιν ἐγὼ κοίλης ἐπὶ νηὸς ἐΐσης | ἤγαγον ἐκ Σκύρου μετ’ ἐϋκνήμιδας Ἀχαιούς.,--  -uu -- -uu -uu --
11,534,νηὸς,none,none,s,g,"μοῖραν καὶ γέρας ἐσθλὸν ἔχων ἐπὶ νηὸς ἔβαινεν | ἀσκηθής,",-- -uu -uu -uu -uu --
11,545,νηυσίν,none,none,p,d,τήν μιν ἐγὼ νίκησα δικαζόμενος παρὰ νηυσίν | τεύχεσιν ἀμφ’ Ἀχιλῆος·,-uu -- -uu -uu -uu --
11,636,νῆα,none,none,s,a,αὐτίκ’ ἔπειτ’ ἐπὶ νῆα κιὼν ἐκέλευον ἑταίρους | αὐτούς τ’ ἀμβαίνειν ἀνά τε πρυμνήσια λῦσαι·,-uu -uu -uu -uu -uu --
12,2,νηῦς,none,none,s,n,"αὐτὰρ ἐπεὶ ποταμοῖο λίπεν ῥόον Ὠκεανοῖο | νηῦς,",-- -uu -uu -uu -uu --
12,5,νῆα,none,none,s,a,"νῆα μὲν ἔνθ’ ἐλθόντες ἐκέλσαμεν ἐν ψαμάθοισιν,",-uu -- -uu -uu -uu --
12,32,νηός,none,none,s,g,"οἳ μὲν κοιμήσαντο παρὰ πρυμνήσια νηός,",-- -- -uu -- -uu --
12,50,νηῒ,θοῆι,swift,s,d,"δησάντων σ’ ἐν νηῒ θοῆι χεῖράς τε πόδας τε | ὀρθὸν ἐν ἱστοπέδηι,",-- -- -uu -- -uu --
12,66,νηῦς,none,none,s,n,"τῆι δ’ οὔ πώ τις νηῦς φύγεν ἀνδρῶν,",-- -uu -uu -- -uu --
12,67,νεῶν,none,none,p,g,ἀλλά θ’ ὁμοῦ πίνακάς τε νεῶν καὶ σώματα φωτῶν | κύμαθ’ ἁλὸς φορέουσι πυρός τ’ ὀλοοῖο θύελλαι.,-uu -uu -uu -- -uu --
12,69,νηῦς,ποντοπόρος,seafaring,s,n,"οἴη δὴ κείνηι γε παρέπλω ποντοπόρος νηῦς | Ἀργὼ πᾶσι μέλουσα,",-uu -- -uu -uu -- --
12,82,νῆα,γλαφυρὴν,hollowed,s,a,"ἧι περ ἂν ὑμεῖς | νῆα παρὰ γλαφυρὴν ἰθύνετε,",-- -uu -uu -uu -uu --
12,83,νηὸς,γλαφυρῆς,hollowed,s,g,οὐδέ κεν ἐκ νηὸς γλαφυρῆς αἰζήϊος ἀνήρ | τόξωι ὀϊστεύσας κοῖλον σπέος εἰσαφίκοιτο.,-uu -- -uu -- -uu --
12,99,νηΐ,none,none,s,d,τῆι δ’ οὔ πώ ποτε ναῦται ἀκήριοι εὐχετόωνται | παρφυγέειν σὺν νηΐ·,-uu -- -uu -uu -uu --
12,100,νεὸς,κυανοπρώιροιο,dark-prowed,s,g,φέρει δέ τε κρατὶ ἑκάστωι | φῶτ’ ἐξαρπάξασα νεὸς κυανοπρώιροιο.,-- -- -- -- -uu --
12,109,νῆα,none,none,s,a,"ἀλλὰ μάλα Σκύλλης σκοπέλωι πεπλημένος ὦκα | νῆα πάρεξ ἐλάαν,",-uu -uu -uu -uu -uu --
12,110,νηῒ,none,none,s,d,ἐπεὶ ἦ πολὺ φέρτερόν ἐστιν | ἓξ ἑτάρους ἐν νηῒ ποθήμεναι ἠ’ ἅμα πάντας.,-uu -- -uu -uu -uu --
12,140,νηΐ,none,none,s,d,νηΐ τε καὶ ἑτάροις·,-uu -uu -- -- -uu --
12,144,νῆα,none,none,s,a,αὐτὰρ ἐγὼν ἐπὶ νῆα κιὼν ὤτρυνον ἑταίρους | αὐτούς τ’ ἀμβαίνειν ἀνά τε πρυμνήσια λῦσαι·,-uu -uu -uu -- -uu --
12,148,νεὸς,κυανοπρώιροιο,dark-prowed,s,g,"ἡμῖν δ’ αὖ κατόπισθε νεὸς κυανοπρώιροιο | ἴκμενον οὖρον ἵει πλησίστιον,",-- -uu -- -uu -- --
12,151,νῆα,none,none,s,a,αὐτίκα δ’ ὅπλα ἕκαστα πονησάμενοι κατὰ νῆα | ἥμεθα·,-uu -uu -uu -uu -uu --
12,166,νηῦς,εὐεργής,well-made,s,n,τόφρα δὲ καρπαλίμως ἐξίκετο νηῦς εὐεργής | νῆσον Σειρήνοιϊν·,-uu -uu -- uu -uu --
12,170,νεὸς,none,none,s,g,"ἀνστάντες δ’ ἕταροι νεὸς ἱστία μηρύσαντο,",-- -uu -uu -uu -- --
12,171,νηῒ,γλαφυρῆι,hollowed,s,d,"καὶ τὰ μὲν ἐν νηῒ γλαφυρῆι θέσαν,",-uu -- -uu -uu -uu --
12,178,νηΐ,none,none,s,d,"οἳ δ’ ἐν νηΐ μ’ ἔδησαν ὁμοῦ χεῖράς τε πόδας τε | ὀρθὸν ἐν ἱστοπέδηι,",-- -uu -uu -- -uu --
12,182,νηῦς,ὠκύαλος,sea-swift,s,n,"τὰς δ’ οὐ λάθεν ὠκύαλος νηῦς | ἐγγύθεν ὀρνυμένη,",-uu -uu -- -uu -uu --
12,185,νῆα,none,none,s,a,"νῆα κατάστησον,",-uu -- -uu -uu -uu --
12,186,νηῒ,μελαίνηι,black,s,d,"οὐ γάρ πώ τις τῆιδε παρήλασε νηῒ μελαίνηι πρίν | γ’ ἡμέων μελίγηρυν ἀπὸ στομάτων ὄπ’ ἀκοῦσαι,",-- -- -uu -uu -uu --
12,205,νηῦς,none,none,s,n,"ἔσχετο δ’ αὐτοῦ | νηῦς,",-uu -uu -uu -- -uu --
12,206,νηὸς,none,none,s,g,αὐτὰρ ἐγὼ διὰ νηὸς ἰὼν ὤτρυνον ἑταίρους | μειλιχίοις ἐπέεσσι παρασταδὸν ἄνδρα ἕκαστον·,-uu -uu -uu -- -uu --
12,218,νηὸς,γλαφυρῆς,hollowed,s,g,ἐπεὶ νηὸς γλαφυρῆς οἰήϊα νωμᾶις.,-uu -- -uu -- -uu --
12,220,νῆα,none,none,s,a,"τούτου μὲν καπνοῦ καὶ κύματος ἐκτὸς ἔεργε | νῆα,",-uu -uu -uu -uu -uu --
12,229,νηὸς,none,none,s,g,αὐτὰρ ἐγὼ καταδὺς κλυτὰ τεύχεα καὶ δύο δοῦρε | μάκρ’ ἐν χερσὶν ἑλὼν εἰς ἴκρια νηὸς ἔβαινον | πρώιρης·,-- -uu -- -uu -uu --
12,245,νηὸς,κοίλης,hollow,s,g,"τόφρα δέ μοι Σκύλλη κοίλης ἐκ νηὸς ἑταίρους | ἓξ ἕλεθ’,",-uu -- -- -- -uu --
12,247,νῆα,θοὴν,swift,s,a,σκεψάμενος δ’ ἐς νῆα θοὴν ἅμα καὶ μεθ’ ἑταίρους | ἤδη τῶν ἐνόησα πόδας καὶ χεῖρας ὕπερθεν | ὑψόσ’ ἀειρομένων·,-uu -- -uu -uu -uu --
12,264,νηῒ,μελαίνηι,black,s,d,δὴ τότ’ ἐγὼν ἔτι πόντωι ἐὼν ἐν νηῒ μελαίνηι | μυκηθμοῦ τ’ ἤκουσα βοῶν αὐλιζομενάων | οἰῶν τε βληχήν·,-uu -uu -uu -- -uu --
12,276,νῆα,μέλαιναν,black,s,a,ἀλλὰ πάρεξ τὴν νῆσον ἐλαύνετε νῆα μέλαιναν.,-uu -- -uu -uu -uu --
12,286,νηῶν,none,none,p,g,"δηλήματα νηῶν,",-- -uu -uu -- -uu --
12,290,νῆα,none,none,s,a,οἵ τε μάλιστα | νῆα διαρραίουσι θεῶν ἀέκητι ἀνάκτων;,-- -- -uu -uu -uu --
12,292,νηῒ,θοῆι,swift,s,d,ἀλλ’ ἤτοι νῦν μὲν πειθώμεθα νυκτὶ μελαίνηι | δόρπόν θ’ ὁπλισόμεσθα θοῆι παρὰ νηῒ μένοντες·,-- -uu -uu -uu -uu --
12,305,νῆα,εὐεργέα,well-made,s,a,"στήσαμεν ἐν λιμένι γλαφυρῶι εὐεργέα νῆα | ἄγχ’ ὕδατος γλυκεροῖο,",-uu -uu -uu -- -- --
12,307,νηός,none,none,s,g,"καὶ ἐξαπέβησαν ἑταῖροι | νηός,",-uu -uu -uu -uu -uu --
12,310,νηὸς,γλαφυρῆς,hollowed,s,g,οὓς ἔφαγε Σκύλλη γλαφυρῆς ἐκ νηὸς ἑλοῦσα·,-uu -- -uu -- -uu --
12,317,νῆα,none,none,s,a,νῆα μὲν ὡρμίσαμεν κοῖλον σπέος εἰσερύσαντες·,-uu -uu -- -uu -uu --
12,320,νηῒ,θοῆι,swift,s,d,"ἐν γὰρ νηῒ θοῆι βρῶσίς τε πόσις τε | ἔστιν,",-- -uu -uu -- -uu --
12,329,νηὸς,none,none,s,g,"ἀλλ’ ὅτε δὴ νηὸς ἐξέφθιτο ἤϊα πάντα,",-uu -- -uu -- -uu --
12,345,νηόν,none,none,s,a,"αἶψά κεν Ἠελίωι Ὑπερίονι πίονα νηόν | τεύξομεν,",-uu -uu -uu -uu -uu --
12,349,νῆ’,none,none,s,a,"εἰ δὲ χολωσάμενός τι βοῶν ὀρθοκραιράων | νῆ’ ἐθέληι ὀλέσαι,",-uu -uu -uu -- -uu --
12,354,νεὸς,κυανοπρώιροιο,dark-prowed,s,g,οὐ γὰρ τῆλε νεὸς κυανοπρώιροιο | βοσκέσκονθ’ ἕλικες καλαὶ βόες εὐρυμέτωποι,-uu -- -- -uu -- --
12,358,νηός,ἐϋσσέλμου,well-benched,s,g,οὐ γὰρ ἔχον κρῖ λευκὸν ἐϋσσέλμου ἐπὶ νηός.,-uu -- -uu -- -uu --
12,367,νῆα,θοὴν,swift,s,a,βῆν δ’ ἰέναι ἐπὶ νῆα θοὴν καὶ θῖνα θαλάσσης·,-uu -uu -uu -- -uu --
12,368,νεὸς,ἀμφιελίσσης,curved,s,g,"ἀλλ’ ὅτε δὴ σχεδὸν ἦα κιὼν νεὸς ἀμφιελίσσης,",-uu -uu -uu -uu -uu --
12,387,νῆα,θοὴν,swift,s,a,τῶν δέ κ’ ἐγὼ τάχα νῆα θοὴν ἀργῆτι κεραυνῶι | τυτθὰ βαλὼν κεάσαιμι μέσωι ἐνὶ οἴνοπι πόντωι.,-uu -uu -uu -- -uu --
12,391,νῆα,none,none,s,a,"αὐτὰρ ἐπεί ῥ’ ἐπὶ νῆα κατήλυθον ἠδὲ θάλασσαν,",-uu -uu -uu -uu -uu --
12,406,νηὸς,γλαφυρῆς,hollowed,s,g,"δὴ τότε κυανέην νεφέλην ἔστησε Κρονίων | νηὸς ὕπερ γλαφυρῆς,",-uu -uu -- -uu -uu --
12,411,νηΐ,none,none,s,d,"ὃ δ’ ἄρα πρυμνῆι ἐνὶ νηΐ | πλῆξε κυβερνήτεω κεφαλήν,",-- -uu -- -uu -uu --
12,415,νηῒ,none,none,s,d,Ζεὺς δ’ ἄμυδις βρόντησε καὶ ἔμβαλε νηῒ κεραυνόν·,-uu -uu -uu -uu -uu --
12,417,νηὸς,none,none,s,g,πέσον δ’ ἐκ νηὸς ἑταῖροι.,-uu -- -uu -- -uu --
12,418,νῆα,μέλαιναν,black,s,a,"οἳ δὲ κορώνηισιν ἴκελοι περὶ νῆα μέλαιναν | κύμασιν ἐμφορέοντο,",-uu -- -uu -uu -uu --
12,420,νηὸς,none,none,s,g,"αὐτὰρ ἐγὼ διὰ νηὸς ἐφοίτων,",-uu -uu -uu -- -uu --
