book,line,ship,epithet_gr,epithet_en,number,case,clause,scansion
3,61,νηῒ,μελαίνηι,black,s,d,οὕνεκα δεῦρ’ ἱκόμεσθα θοῆι σὺν νηῒ μελαίνηι.,-uu -uu -uu -- -uu --
3,105,νηυσὶν,none,none,p,d,"ἠμὲν ὅσα ξὺν νηυσὶν ἐπ’ ἠεροειδέα πόντον | πλαζόμενοι κατὰ ληΐδ’,",-uu -- -uu -uu -uu --
3,131,νήεσσι,none,none,p,d,"βῆμεν δ’ ἐν νήεσσι,",-- -- -uu -uu -uu --
3,153,νέας,none,none,p,a,ἠῶθεν δ’ οἳ μὲν νέας εἵλκομεν εἰς ἅλα δῖαν | κτήματά τ’ ἐντιθέμεσθα βαθυζώνους τε γυναῖκας·,-- -- -uu -uu -uu --
3,162,νέας,ἀμφιελίσσας,curved,p,a,"οἳ μὲν ἀποστρέψαντες ἔβαν νέας ἀμφιελίσσας | ἀμφ’ Ὀδυσῆα ἄνακτα δαΐφρονα ποικιλομήτην,",-uu -- -uu -uu -uu --
3,165,νηυσὶν,none,none,p,d,"αὐτὰρ ἐγὼ σὺν νηυσὶν ἀολλέσιν,",-uu -- -uu -uu -uu --
3,180,νῆας,ἐΐσας,well-balanced,p,a,ὅτ’ ἐν  Ἄργει νῆας ἐΐσας | Τυδείδεω ἕταροι Διομήδεος ἱπποδάμοιο | ἔστασαν·,-uu -uu -uu -- -uu --
3,281,νηὸς,θεούσης,running,s,g,"πηδάλιον μετὰ χερσὶ θεούσης νηὸς ἔχοντα,",-uu -uu -uu -- -uu --
3,283,νῆα,none,none,s,a,"ὃς ἐκαίνυτο φῦλ’ ἀνθρώπων | νῆα κυβερνῆσαι,",-uu -- -uu -- -uu --
3,286,νηυσὶ,γλαφυρῆισι,hollowed,p,d,"ἀλλ’ ὅτε δὴ καὶ κεῖνος ἰὼν ἐπὶ οἴνοπα πόντον | ἐν νηυσὶ γλαφυρῆισι Μαλειάων ὄρος αἰπύ | ἷξε θέων,",-- -uu -uu -- -uu --
3,298,νῆάς,none,none,p,a,ἀτὰρ νῆάς γε ποτὶ σπιλάδεσσιν ἔαξαν | κύματ’·,-uu -- -uu -uu -uu --
3,299,νέας,κυανοπρωιρείους,dark-prowed,p,a,ἀτὰρ τὰς πέντε νέας κυανοπρωιρείους | Αἰγύπτωι ἐπέλασσε φέρων ἄνεμός τε καὶ ὕδωρ.,-uu -- -uu -uu -- --
3,302,νηυσὶ,none,none,p,d,ὣς ὃ μὲν ἔνθα πολὺν βίοτον καὶ χρυσὸν ἀγείρων | ἠλᾶτο ξὺν νηυσὶ κατ’ ἀλλοθρόους ἀνθρώπους·,-- -- -uu -uu -- --
3,312,νέες,none,none,p,n,ὅσα οἱ νέες ἄχθος ἄειραν.,-- -uu -uu -uu -uu --
3,323,νηΐ,none,none,s,d,ἀλλ’ ἴθι νῦν σὺν νηΐ τε σῆι καὶ σοῖς ἑτάροισιν·,-uu -- -uu -- -uu --
3,344,νῆα,κοίλην,hollow,s,a,"δὴ τότ’ Ἀθηναίη καὶ Τηλέμαχος θεοειδής | ἄμφω ἱέσθην κοίλην ἐπὶ νῆα νέεσθαι,",-- -- -- -uu -uu --
3,347,νῆα,θοὴν,swift,s,a,"ὡς ὑμεῖς παρ’ ἐμεῖο θοὴν ἐπὶ νῆα κίοιτε | ὥς τέ τε’ ἢ παρὰ πάμπαν ἀνείμονος ἠὲ πενιχροῦ,",-- -uu -uu -uu -uu --
3,353,νηὸς,none,none,s,g,"οὔ θην δὴ τοῦδ’ ἀνδρὸς Ὀδυσσῆος φίλος υἱός | νηὸς ἐπ’ ἰκριόφιν καταλέξεται,",-uu -uu -uu -uu -uu --
3,360,νῆα,μέλαιναν,black,s,a,"ἐγὼ δ’ ἐπὶ νῆα μέλαιναν | εἶμ’,",-uu -uu -uu -uu -uu --
3,365,νηῒ,κοίληι,hollow,s,d,ἔνθά κε λεξαίμην κοίληι παρὰ νηῒ μελαίνηι | νῦν·,-uu -- -- -uu -uu --
3,365,νηῒ,μελαίνηι,black,s,d,ἔνθά κε λεξαίμην κοίληι παρὰ νηῒ μελαίνηι | νῦν·,-uu -- -- -uu -uu --
3,423,νῆα,μέλαιναν,black,s,a,"εἷς δ’ ἐπὶ Τηλεμάχου μεγαθύμου νῆα μέλαιναν | πάντας ἰὼν ἑτάρους ἀγέτω,",-uu -uu -uu -- -uu --
3,431,νηὸς,θοῆς,swift,s,g,"ἦλθον δὲ θοῆς παρὰ νηὸς ἐΐσης | Τηλεμάχου ἕταροι μεγαλήτορος,",-uu -- -uu -uu -uu --
3,431,νηὸς,ἐΐσης,well-balanced,s,g,"ἦλθον δὲ θοῆς παρὰ νηὸς ἐΐσης | Τηλεμάχου ἕταροι μεγαλήτορος,",-uu -- -uu -uu -uu --
4,82,νηυσί,none,none,p,d,"ἦ γὰρ πολλὰ παθὼν καὶ πόλλ’ ἐπαληθείς | ἠγαγόμην ἐν νηυσί,",-uu -- -uu -uu -uu --
4,173,νηυσὶ,θοῆισι,swift,p,d,εἰ νῶϊν ὑπεὶρ ἅλα νόστον ἔδωκεν | νηυσὶ θοῆισι γενέσθαι Ὀλύμπιος εὐρύοπα Ζεύς.,-uu -uu -uu -uu -uu --
4,248,νηυσὶν,none,none,p,d,ὃς οὐδὲν τοῖος ἔην ἐπὶ νηυσὶν Ἀχαιῶν.,-uu -- -uu -uu -uu --
4,255,νῆάς,θοὰς,swift,p,a,"πρίν γε τὸν ἐς νῆάς τε θοὰς κλισίας τ’ ἀφικέσθαι,",-uu -- -uu -uu -uu --
4,356,νηῦς,γλαφυρὴ,hollowed,s,n,"τόσσον ἄνευθ’ ὅσσον τε πανημερίη γλαφυρὴ νηῦς | ἥνυσεν,",-uu -- -uu -uu -uu --
4,358,νῆας,ἐΐσας,well-balanced,p,a,"ὅθεν τ’ ἀπὸ νῆας ἐΐσας | ἐς πόντον βάλλουσιν,",-uu -uu -uu -uu -uu --
4,361,νηῶν,none,none,p,g,οἵ ῥά τε νηῶν | πομπῆες γίνονται ἐπ’ εὐρέα νῶτα θαλάσσης.,-- -- -uu -uu -uu --
4,409,νηυσὶν,ἐϋσσέλμοισιν,well-benched,p,d,οἵ τοι παρὰ νηυσὶν ἐϋσσέλμοισιν ἄριστοι.,-- -uu -uu -- -uu --
4,426,νῆας,none,none,p,a,"αὐτὰρ ἐγὼν ἐπὶ νῆας,",-uu -uu -uu -uu -uu --
4,428,νῆα,none,none,s,a,"αὐτὰρ ἐπεί ῥ’ ἐπὶ νῆα κατήλυθον ἠδὲ θάλασσαν,",-uu -uu -uu -uu -uu --
4,487,νηυσὶν,none,none,p,d,"ἢ πάντες σὺν νηυσὶν ἀπήμονες ἦλθον Ἀχαιοί | οὓς Νέστωρ καὶ ἐγὼ λίπομεν Τροίηθεν ἰόντες,",-- -- -uu -uu -uu --
4,489,νηός,none,none,s,g,"ἦέ τις ὤλετ’ ὀλέθρωι ἀδευκέϊ ἧς ἐπὶ νηός | ἠὲ φίλων ἐν χερσίν,",-uu -uu -uu -uu -uu --
4,499,νηυσὶ,δολιχηρέτμοισιν,long-oared,p,d,Αἴας μὲν μετὰ νηυσὶ δάμη δολιχηρέτμοισιν·,-- -uu -uu -uu -- --
4,513,νηυσὶ,γλαφυρῆισι,hollowed,p,d,σὸς δέ που ἔκφυγε κῆρας ἀδελφεὸς ἠδ’ ὑπάλυξεν | ἐν νηυσὶ γλαφυρῆισι·,-- -uu -uu -uu -uu --
